PeriodeAttente,Region,Delais_d'attente,Chirurgie_generale,Chirurgie_orthopedique,Chirurgie_plastique,Chirurgie_vasculaire,Neurochirurgie,Obstetrique_et_gynecologie,Ophtalmologie,ORL_chirurgie_cervico-faciale,Urologie,Autres,Total
2223-P07,RSS16,0 à 6 mois,2371,3304,358,69,60,973,3809,1633,888,215,13680
2223-P07,RSS16,6 à 12 mois,784,1472,243,30,30,349,1308,488,215,133,5052
2223-P07,RSS16,Plus d'1 an,514,1838,197,10,54,141,375,333,67,102,3631
2223-P08,RSS01,0 à 6 mois,505,750,0,0,0,116,649,14,215,160,2409
2223-P08,RSS01,6 à 12 mois,131,290,0,0,0,12,196,1,28,36,694
2223-P08,RSS01,Plus d'1 an,18,30,0,0,0,1,10,0,6,13,78
2223-P08,RSS02,0 à 6 mois,837,851,188,39,108,251,1428,390,351,147,4590
2223-P08,RSS02,6 à 12 mois,316,416,109,29,68,83,109,91,189,73,1483
2223-P08,RSS02,Plus d'1 an,169,164,198,16,33,84,56,70,94,95,979
2223-P08,RSS03,0 à 6 mois,2090,1927,238,115,208,754,2233,1957,760,463,10745
2223-P08,RSS03,6 à 12 mois,596,1136,115,13,69,272,384,415,304,224,3528
2223-P08,RSS03,Plus d'1 an,82,368,272,4,16,12,26,88,16,52,936
2223-P08,RSS04,0 à 6 mois,1188,1173,92,68,100,420,1097,758,547,277,5720
2223-P08,RSS04,6 à 12 mois,272,437,53,10,20,42,170,112,133,53,1302
2223-P08,RSS04,Plus d'1 an,36,68,46,15,9,1,23,31,84,21,334
2223-P08,RSS05,0 à 6 mois,1109,1537,420,47,149,530,2210,805,409,325,7541
2223-P08,RSS05,6 à 12 mois,381,790,240,5,94,292,805,410,158,76,3251
2223-P08,RSS05,Plus d'1 an,416,328,149,4,100,330,77,224,155,82,1865
2223-P08,RSS06,0 à 6 mois,7243,5797,2025,254,527,2401,8284,3833,2305,1327,33996
2223-P08,RSS06,6 à 12 mois,2311,2554,1074,101,182,535,2029,1192,625,419,11022
2223-P08,RSS06,Plus d'1 an,1007,1968,1148,32,109,253,863,815,354,122,6671
2223-P08,RSS07,0 à 6 mois,623,885,143,20,51,229,1265,388,235,193,4032
2223-P08,RSS07,6 à 12 mois,329,364,74,0,26,92,221,236,123,17,1482
2223-P08,RSS07,Plus d'1 an,479,389,74,0,80,284,168,576,93,57,2200
2223-P08,RSS08,0 à 6 mois,390,466,11,0,0,173,334,68,111,50,1603
2223-P08,RSS08,6 à 12 mois,69,69,1,0,0,13,127,2,60,0,341
2223-P08,RSS08,Plus d'1 an,12,6,0,0,0,0,38,0,6,0,62
2223-P08,RSS09,0 à 6 mois,172,257,27,0,0,41,127,200,25,67,916
2223-P08,RSS09,6 à 12 mois,37,26,21,0,0,8,4,11,0,7,114
2223-P08,RSS09,Plus d'1 an,1,0,36,0,0,0,0,0,0,0,37
2223-P08,RSS10,0 à 6 mois,48,0,0,0,0,16,0,0,0,0,64
2223-P08,RSS10,6 à 12 mois,1,0,0,0,0,17,0,0,0,0,18
2223-P08,RSS11,0 à 6 mois,273,355,4,0,0,59,342,172,15,63,1283
2223-P08,RSS11,6 à 12 mois,21,39,3,0,0,4,32,29,8,39,175
2223-P08,RSS11,Plus d'1 an,8,5,0,0,0,2,0,1,0,31,47
2223-P08,RSS12,0 à 6 mois,811,1252,176,0,0,307,652,516,342,405,4461
2223-P08,RSS12,6 à 12 mois,148,525,70,0,0,42,191,123,67,80,1246
2223-P08,RSS12,Plus d'1 an,93,55,35,0,0,3,56,111,56,39,448
2223-P08,RSS13,0 à 6 mois,498,581,89,108,0,176,938,681,228,12,3311
2223-P08,RSS13,6 à 12 mois,88,110,12,4,0,56,24,186,29,3,512
2223-P08,RSS13,Plus d'1 an,21,18,3,0,0,9,3,8,0,3,65
2223-P08,RSS14,0 à 6 mois,903,908,202,40,0,274,1422,546,324,108,4727
2223-P08,RSS14,6 à 12 mois,458,583,177,22,0,51,627,236,188,46,2388
2223-P08,RSS14,Plus d'1 an,425,402,243,82,0,15,298,506,223,19,2213
2223-P08,RSS15,0 à 6 mois,1905,1827,76,90,0,365,1033,323,394,39,6052
2223-P08,RSS15,6 à 12 mois,605,1060,60,35,0,22,150,90,54,5,2081
2223-P08,RSS15,Plus d'1 an,353,955,183,19,0,7,3,119,30,1,1670
2223-P08,RSS16,0 à 6 mois,2303,3496,369,74,53,940,3878,1671,819,220,13823
2223-P08,RSS16,6 à 12 mois,752,1427,229,30,32,329,1305,473,211,105,4893
2223-P08,RSS16,Plus d'1 an,476,1730,143,10,68,147,354,336,59,138,3461
