PeriodeAttente,Region,Delais_d'attente,Chirurgie_generale,Chirurgie_orthopedique,Chirurgie_plastique,Chirurgie_vasculaire,Neurochirurgie,Obstetrique_et_gynecologie,Ophtalmologie,ORL_chirurgie_cervico-faciale,Urologie,Autres,Total
2223-P05,RSS07,0 à 6 mois,643,772,129,11,43,212,1189,296,191,174,3660
2223-P05,RSS07,6 à 12 mois,362,378,53,4,21,61,272,302,94,26,1573
2223-P05,RSS07,Plus d'1 an,466,414,79,7,125,327,297,491,116,62,2384
2223-P05,RSS08,0 à 6 mois,344,289,10,0,0,200,344,37,165,55,1444
2223-P05,RSS08,6 à 12 mois,86,80,1,0,0,14,257,2,77,9,526
2223-P05,RSS08,Plus d'1 an,18,7,0,0,0,0,60,0,9,1,95
2223-P05,RSS09,0 à 6 mois,157,197,15,0,0,32,169,150,19,68,807
2223-P05,RSS09,6 à 12 mois,13,10,17,0,0,7,0,4,2,3,56
2223-P05,RSS09,Plus d'1 an,0,0,34,0,0,0,0,0,0,0,34
2223-P05,RSS10,0 à 6 mois,50,0,0,0,0,24,0,0,0,0,74
2223-P05,RSS10,6 à 12 mois,2,0,0,0,0,6,0,0,0,0,8
2223-P05,RSS11,0 à 6 mois,175,216,1,0,0,48,337,121,37,54,989
2223-P05,RSS11,6 à 12 mois,15,26,2,0,0,2,1,20,2,49,117
2223-P05,RSS11,Plus d'1 an,7,1,0,0,0,1,1,0,0,7,17
2223-P05,RSS12,0 à 6 mois,670,1149,171,0,0,346,867,558,319,380,4460
2223-P05,RSS12,6 à 12 mois,125,421,70,0,0,32,162,142,107,102,1161
2223-P05,RSS12,Plus d'1 an,114,44,70,0,0,23,62,122,78,57,570
2223-P05,RSS13,0 à 6 mois,461,488,87,67,0,301,752,608,242,9,3015
2223-P05,RSS13,6 à 12 mois,78,128,23,5,0,85,33,102,17,3,474
2223-P05,RSS13,Plus d'1 an,19,34,2,2,0,23,5,4,0,3,92
2223-P05,RSS14,0 à 6 mois,940,838,227,56,0,230,1576,568,328,99,4862
2223-P05,RSS14,6 à 12 mois,498,619,221,38,0,38,610,248,200,43,2515
2223-P05,RSS14,Plus d'1 an,434,342,183,83,0,22,385,527,247,11,2234
2223-P05,RSS15,0 à 6 mois,1648,1706,96,73,0,341,1266,244,317,33,5724
2223-P05,RSS15,6 à 12 mois,500,1018,74,37,0,29,52,107,68,6,1891
2223-P05,RSS15,Plus d'1 an,371,929,177,8,0,11,2,141,129,12,1780
2223-P05,RSS16,0 à 6 mois,2268,2974,357,68,56,970,3928,1394,807,158,12980
2223-P05,RSS16,6 à 12 mois,833,1605,235,14,24,313,1190,465,214,166,5059
2223-P05,RSS16,Plus d'1 an,507,1819,185,5,62,141,388,327,77,73,3584
2223-P06,RSS01,0 à 6 mois,478,740,0,0,0,114,735,30,163,177,2437
2223-P06,RSS01,6 à 12 mois,152,357,0,0,0,20,98,1,50,51,729
2223-P06,RSS01,Plus d'1 an,34,35,0,0,0,4,0,1,7,11,92
2223-P06,RSS02,0 à 6 mois,832,810,148,36,111,254,1209,340,416,178,4334
2223-P06,RSS02,6 à 12 mois,242,418,126,33,58,77,131,75,152,52,1364
2223-P06,RSS02,Plus d'1 an,277,155,184,15,52,91,53,93,165,101,1186
2223-P06,RSS03,0 à 6 mois,2145,1778,222,101,249,695,2434,1953,923,535,11035
2223-P06,RSS03,6 à 12 mois,562,1349,124,19,60,197,417,489,234,183,3634
2223-P06,RSS03,Plus d'1 an,60,423,267,2,20,13,33,127,17,79,1041
